ID|Brand|Type|Frame Size|Rental Rate|Purchase Date|Condition|Status
337|Cannondale|Hybrid Bike|Medium|15/day; 75/week|06/05/2024|Damaged|Available
338|GT|Hybrid Bike|Medium|30/day; 150/week|13/09/2021|Fair|Under Maintenance
339|Trek|Road Bike|Medium|Missing|05/02/2020|Fair|Rented
340|Scott|Hybrid Bike|Large|30/day; 150/week|22/02/2023|Fair|Rented
341|GT|BMX|Medium|15/day; 75/week|16/12/2023|Fair|Available
342|Trek|Hybrid Bike|Small|30/day; 150/week|12/01/2023|Damaged|Under Maintenance
343|Santa Cruz|Electric Bike|Medium|30/day; 150/week|23/07/2019|Fair|Rented
344|Trek|Electric Bike|Medium|15/day; 75/week|04/12/2024|Fair|Under Maintenance
345|Cannondale|Electric Bike|Medium|20/day; 100/week|16/05/2019|Good|Rented
346|Trek|Hybrid Bike|Medium|Missing|25/02/2023|Good|Under Maintenance
347|Scott|Electric Bike|Large|10/day; 50/week|15/03/2020|Good|Under Maintenance
348|Giant|Road Bike|Medium|25/day; 125/week|13/10/2024|Fair|Rented
349|Santa Cruz|BMX|Medium|20/day; 100/week|13/08/2020|Damaged|Under Maintenance
350|Trek|Gravel Bike|Small|25/day; 125/week|14/07/2021|New|Under Maintenance
351|Norco|Road Bike|Small|15/day; 75/week|30/10/2021|Good|Available
352|Bianchi|Road Bike|Large|30/day; 150/week|25/02/2019|Damaged|Available
353|Santa Cruz|Mountain Bike|Medium|30/day; 150/week|05/09/2022|Damaged|Available
354|Santa Cruz|Road Bike|Small|30/day; 150/week|30/03/2024|Fair|Under Maintenance
355|Norco|BMX|Medium|20/day; 100/week|11/04/2022|Damaged|Rented
356|Trek|Gravel Bike|Small|25/day; 125/week|21/05/2022|Good|Rented
357|Cannondale|Mountain Bike|Medium|30/day; 150/week|18/05/2019|Damaged|Available
358|GT|Gravel Bike|Large|30/day; 150/week|11/12/2024|Fair|Available
359|Trek|Electric Bike|Large|15/day; 75/week|16/02/2020|New|Under Maintenance
360|Merida|Gravel Bike|Small|15/day; 75/week|26/07/2019|Damaged|Under Maintenance
361|GT|Road Bike|Medium|20/day; 100/week|09/02/2020|Damaged|Under Maintenance
362|Giant|BMX|Medium|25/day; 125/week|29/06/2021|Damaged|Rented
363|Bianchi|Gravel Bike|Small|20/day; 100/week|04/01/2022|Fair|Available
364|Giant|BMX|Large|30/day; 150/week|04/01/2022|Damaged|Under Maintenance
365|Bianchi|Gravel Bike|Small|20/day; 100/week|19/10/2019|New|Under Maintenance
366|Specialized|Hybrid Bike|Small|20/day; 100/week|05/06/2023|Fair|Available
367|Specialized|Road Bike|Small|20/day; 100/week|14/03/2020|Damaged|Rented
368|Cannondale|Mountain Bike|Small|30/day; 150/week|18/10/2024|Good|Rented
369|Scott|Electric Bike|Small|10/day; 50/week|16/06/2019|Damaged|Under Maintenance
370|Cannondale|Mountain Bike|Medium|15/day; 75/week|07/06/2019|Damaged|Under Maintenance
371|Bianchi|Mountain Bike|Small|15/day; 75/week|13/12/2021|Damaged|Available
372|Bianchi|Road Bike|Small|15/day; 75/week|16/11/2022|New|Under Maintenance
373|Giant|BMX|Small|20/day; 100/week|22/07/2021|Fair|Under Maintenance
374|Cannondale|Hybrid Bike|Large|20/day; 100/week|16/12/2024|Good|Available
375|Norco|Gravel Bike|Medium|15/day; 75/week|04/10/2019|New|Rented
376|Scott|Electric Bike|Medium|20/day; 100/week|30/08/2020|Good|Available
377|GT|Gravel Bike|Large|20/day; 100/week|02/05/2024|Damaged|Available
378|Trek|Electric Bike|Medium|20/day; 100/week|01/08/2024|Damaged|Under Maintenance
379|Scott|BMX|Medium|15/day; 75/week|04/09/2023|Damaged|Rented
380|GT|Road Bike|Medium|10/day; 50/week|23/05/2023|Damaged|Rented
381|Cannondale|Mountain Bike|Small|25/day; 125/week|24/04/2022|Good|Rented
382|Giant|Mountain Bike|Medium|20/day; 100/week|14/05/2023|New|Available
383|Norco|Road Bike|Small|20/day; 100/week|30/01/2023|Good|Available
384|Santa Cruz|Gravel Bike|Small|30/day; 150/week|26/07/2023|Good|Available
385|Merida|Hybrid Bike|Medium|30/day; 150/week|20/03/2019|Fair|Available
386|Santa Cruz|BMX|Large|20/day; 100/week|04/11/2022|Damaged|Under Maintenance
387|Bianchi|Mountain Bike|Medium|10/day; 50/week|22/03/2020|New|Rented
388|Bianchi|BMX|Medium|25/day; 125/week|15/08/2023|Fair|Under Maintenance
389|Giant|Mountain Bike|Medium|30/day; 150/week|11/05/2023|New|Rented
390|GT|Electric Bike|Medium|30/day; 150/week|15/11/2019|Fair|Available
391|Santa Cruz|Hybrid Bike|Large|20/day; 100/week|10/05/2024|Damaged|Available
392|GT|Gravel Bike|Medium|25/day; 125/week|18/02/2019|New|Under Maintenance
393|Specialized|Road Bike|Small|25/day; 125/week|01/06/2024|Fair|Rented
394|Merida|Mountain Bike|Medium|30/day; 150/week|31/03/2019|Good|Under Maintenance
395|Cannondale|Gravel Bike|Small|15/day; 75/week|13/02/2020|Good|Available
396|Giant|Road Bike|Small|20/day; 100/week|07/06/2022|New|Under Maintenance
397|Scott|Electric Bike|Medium|20/day; 100/week|30/01/2023|Damaged|Available
398|Trek|Road Bike|Large|30/day; 150/week|25/12/2021|New|Under Maintenance
399|Cannondale|Hybrid Bike|Large|25/day; 125/week|18/02/2019|Fair|Available
400|Merida|Hybrid Bike|Large|15/day; 75/week|03/04/2019|Good|Under Maintenance
401|GT|Road Bike|Medium|20/day; 100/week|18/02/2024|Fair|Under Maintenance
402|Cannondale|Gravel Bike|Medium|10/day; 50/week|16/12/2020|Fair|Rented
403|Cannondale|BMX|Large|30/day; 150/week|06/06/2021|Good|Under Maintenance
404|Santa Cruz|Mountain Bike|Small|30/day; 150/week|27/04/2024|New|Under Maintenance
405|Bianchi|Hybrid Bike|Large|10/day; 50/week|31/12/2023|Damaged|Available
406|Trek|Electric Bike|Large|10/day; 50/week|22/11/2020|Fair|Available
407|Giant|Road Bike|Large|15/day; 75/week|11/12/2019|Damaged|Rented
408|Scott|Gravel Bike|Large|15/day; 75/week|15/05/2020|New|Rented
409|GT|Gravel Bike|Medium|20/day; 100/week|12/03/2019|New|Under Maintenance
410|Specialized|Mountain Bike|Large|15/day; 75/week|24/05/2020|Damaged|Available
411|GT|Gravel Bike|Medium|10/day; 50/week|17/06/2024|Fair|Rented
412|Santa Cruz|Mountain Bike|Small|30/day; 150/week|21/08/2019|Fair|Available
413|Scott|Road Bike|Large|20/day; 100/week|20/04/2021|Good|Under Maintenance
414|Norco|Mountain Bike|Medium|15/day; 75/week|22/05/2021|New|Available
415|Scott|Mountain Bike|Medium|10/day; 50/week|13/10/2021|Good|Under Maintenance
416|Specialized|Mountain Bike|Medium|20/day; 100/week|02/10/2022|Good|Available
417|Merida|BMX|Large|30/day; 150/week|30/11/2020|Damaged|Under Maintenance
418|Scott|Hybrid Bike|Large|10/day; 50/week|13/08/2023|New|Rented
419|Norco|Mountain Bike|Large|15/day; 75/week|09/09/2023|Fair|Available
420|Giant|Road Bike|Large|25/day; 125/week|01/11/2022|New|Available
421|Giant|BMX|Large|25/day; 125/week|26/10/2021|Fair|Available
422|Merida|Mountain Bike|Large|30/day; 150/week|16/03/2019|New|Rented
423|GT|Road Bike|Medium|15/day; 75/week|12/08/2020|Good|Available
424|Giant|Electric Bike|Small|10/day; 50/week|16/10/2022|New|Available
425|Trek|Road Bike|Medium|30/day; 150/week|01/11/2021|Fair|Rented
426|Santa Cruz|Gravel Bike|Small|15/day; 75/week|03/04/2020|Damaged|Under Maintenance
427|Norco|BMX|Small|30/day; 150/week|16/09/2023|Fair|Available
428|Scott|Hybrid Bike|Medium|20/day; 100/week|04/03/2021|Fair|Available
429|Trek|Hybrid Bike|Large|10/day; 50/week|05/03/2019|Damaged|Available
430|Trek|Hybrid Bike|Medium|25/day; 125/week|07/06/2023|New|Under Maintenance
431|Cannondale|Gravel Bike|Large|10/day; 50/week|18/03/2020|Damaged|Rented
432|GT|Gravel Bike|Small|15/day; 75/week|26/11/2024|Damaged|Rented
433|Merida|Mountain Bike|Large|20/day; 100/week|17/08/2020|New|Available
434|Trek|BMX|Small|30/day; 150/week|23/12/2023|Good|Under Maintenance
435|Santa Cruz|Road Bike|Large|10/day; 50/week|03/11/2022|New|Available
436|Scott|Mountain Bike|Medium|30/day; 150/week|19/06/2020|Fair|Available
437|Specialized|BMX|Small|20/day; 100/week|16/08/2024|Fair|Under Maintenance
438|Scott|Hybrid Bike|Medium|15/day; 75/week|17/11/2024|Fair|Rented
439|Scott|BMX|Small|25/day; 125/week|27/12/2023|Damaged|Under Maintenance
440|Cannondale|Gravel Bike|Small|15/day; 75/week|08/07/2020|New|Under Maintenance
441|Specialized|Electric Bike|Large|25/day; 125/week|28/06/2023|Good|Under Maintenance
442|Cannondale|Road Bike|Large|25/day; 125/week|13/11/2020|Good|Under Maintenance
443|Specialized|Electric Bike|Medium|15/day; 75/week|31/07/2019|Fair|Rented
444|Scott|Mountain Bike|Large|15/day; 75/week|02/11/2021|New|Under Maintenance
445|Giant|Road Bike|Small|20/day; 100/week|05/02/2019|Damaged|Available
446|Trek|BMX|Large|20/day; 100/week|17/11/2023|Damaged|Rented
447|Merida|Gravel Bike|Medium|30/day; 150/week|11/12/2023|New|Available
448|Santa Cruz|Gravel Bike|Small|25/day; 125/week|01/01/2023|New|Under Maintenance
449|Merida|Electric Bike|Small|15/day; 75/week|27/01/2022|Good|Under Maintenance
450|Giant|Electric Bike|Small|Missing|13/12/2023|Fair|Available
451|Giant|Hybrid Bike|Large|30/day; 150/week|22/11/2023|Good|Available
452|GT|Hybrid Bike|Small|20/day; 100/week|24/09/2019|Damaged|Under Maintenance
453|Santa Cruz|Mountain Bike|Medium|30/day; 150/week|28/11/2023|Good|Under Maintenance
454|Cannondale|Electric Bike|Large|25/day; 125/week|09/03/2024|Good|Available
455|GT|BMX|Small|25/day; 125/week|17/03/2021|New|Rented
456|Trek|Mountain Bike|Large|30/day; 150/week|02/12/2024|Damaged|Rented
457|Norco|Electric Bike|Small|30/day; 150/week|08/02/2022|Fair|Under Maintenance
458|Norco|BMX|Small|15/day; 75/week|26/02/2023|New|Under Maintenance
459|Santa Cruz|Gravel Bike|Small|Missing|22/02/2024|Fair|Available
460|Norco|BMX|Large|25/day; 125/week|13/08/2022|Fair|Rented
461|Bianchi|Mountain Bike|Large|Missing|25/02/2021|Good|Available
462|GT|BMX|Medium|25/day; 125/week|27/09/2022|Fair|Available
463|Trek|BMX|Medium|15/day; 75/week|06/02/2019|Fair|Available
464|GT|Road Bike|Large|20/day; 100/week|02/08/2020|Damaged|Under Maintenance
465|Giant|Hybrid Bike|Medium|25/day; 125/week|25/11/2021|Good|Available
466|Santa Cruz|Road Bike|Large|20/day; 100/week|06/09/2020|Fair|Rented
467|Cannondale|Gravel Bike|Large|15/day; 75/week|01/10/2023|Good|Rented
468|Giant|Hybrid Bike|Small|30/day; 150/week|29/04/2022|Good|Rented
469|Norco|BMX|Small|10/day; 50/week|09/10/2019|New|Rented
470|GT|Hybrid Bike|Small|15/day; 75/week|05/11/2019|Damaged|Available
471|Scott|Road Bike|Medium|25/day; 125/week|23/02/2021|Good|Rented
472|Giant|Hybrid Bike|Small|25/day; 125/week|22/01/2024|Fair|Under Maintenance
473|Scott|Electric Bike|Medium|30/day; 150/week|19/12/2023|Damaged|Available
474|Giant|Gravel Bike|Large|20/day; 100/week|28/08/2020|New|Available
475|Scott|Hybrid Bike|Medium|15/day; 75/week|31/03/2022|New|Under Maintenance
476|Scott|Mountain Bike|Medium|15/day; 75/week|10/06/2021|Fair|Available
477|GT|Hybrid Bike|Large|15/day; 75/week|14/08/2021|New|Rented
478|Merida|BMX|Medium|10/day; 50/week|01/02/2023|Damaged|Rented
479|Santa Cruz|Hybrid Bike|Large|25/day; 125/week|08/04/2024|Fair|Under Maintenance
480|Norco|Hybrid Bike|Medium|15/day; 75/week|05/06/2019|Damaged|Available
481|Scott|Road Bike|Medium|30/day; 150/week|04/09/2019|Fair|Available
482|Norco|Road Bike|Large|30/day; 150/week|30/07/2022|Fair|Rented
483|Norco|BMX|Large|25/day; 125/week|19/12/2023|Fair|Under Maintenance
484|Cannondale|Mountain Bike|Large|15/day; 75/week|27/07/2024|New|Rented
485|Bianchi|Gravel Bike|Medium|25/day; 125/week|07/03/2020|Damaged|Rented
486|GT|Road Bike|Small|25/day; 125/week|05/08/2023|Good|Under Maintenance
487|Santa Cruz|Road Bike|Large|30/day; 150/week|22/06/2022|New|Rented
488|Bianchi|BMX|Large|Missing|14/04/2022|New|Under Maintenance
489|Trek|Road Bike|Large|20/day; 100/week|21/09/2020|Damaged|Under Maintenance
490|Scott|Hybrid Bike|Medium|15/day; 75/week|09/08/2022|New|Under Maintenance
491|Giant|Gravel Bike|Small|20/day; 100/week|14/11/2020|Good|Available
492|GT|Hybrid Bike|Large|20/day; 100/week|04/01/2022|New|Under Maintenance
493|Giant|Electric Bike|Small|10/day; 50/week|15/09/2021|Good|Under Maintenance
494|Specialized|BMX|Medium|25/day; 125/week|16/07/2020|Damaged|Available
495|Cannondale|Gravel Bike|Small|25/day; 125/week|12/11/2022|Fair|Under Maintenance
496|Giant|BMX|Large|10/day; 50/week|06/03/2020|Fair|Rented
497|Specialized|Mountain Bike|Large|20/day; 100/week|26/04/2023|Damaged|Under Maintenance
498|Santa Cruz|BMX|Large|20/day; 100/week|03/09/2021|Good|Available
499|Specialized|Electric Bike|Medium|Missing|20/05/2022|Good|Available
500|Bianchi|BMX|Small|15/day; 75/week|18/12/2021|Damaged|Under Maintenance
